S.No,Long,Lat,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,B
1,73.40111111,17.89472222,8.48,0.36,1.08,756,9.43,834.37,5.8,0.6,4.88,0.32,1.76,0.69
2,73.40138889,17.89472222,8.24,0.25,1.12,781.2,9.21,265.1,6.28,0.52,4.88,0.25,1.85,0.75
3,73.40222222,17.89472222,8.2,0.19,0.68,478.8,8.99,318.96,87.15,0.61,5.1,0.42,1.33,0.71
4,73.40305556,17.89472222,8.45,0.31,1.76,1234.8,9.65,954.77,5.99,0.52,4.6,0.44,1.74,0.68
5,73.40333333,17.89472222,8.11,0.22,1.78,1247.4,8.77,371.77,5.99,0.32,4.61,0.31,1.54,0.48
6,73.40388889,17.89472222,8.13,0.25,1.4,982.8,8.99,688.62,6.67,0.52,4.63,0.42,1.7,0.71
7,73.40416667,17.89472222,8.19,0.22,1.51,1058.4,9.21,532.3,7.25,0.54,5.2,0.38,1.64,0.49
8,73.40444444,17.89472222,8.11,0.22,1.78,1247.4,8.77,371.77,5.99,0.32,4.61,0.31,1.54,0.48
9,73.40472222,17.89472222,8.3,0.07,1.01,705.6,9.65,666.44,7.25,0.42,4.65,0.39,1.78,0.61
10,73.40555556,17.89472222,8.05,0.19,1.51,1058.4,9.65,741.42,6.28,0.35,4.52,0.37,1.44,0.42
11,73.40694444,17.89472222,8.23,0.26,1.67,1171.8,8.99,298.89,6.96,0.26,5.32,0.43,1.62,0.51
12,73.40888889,17.89472222,8.19,0.15,1.58,1108.8,9.21,433.03,6.28,0.28,5.1,0.33,1.6,0.5
13,73.43388889,17.89472222,8.2,0.19,0.68,478.8,8.99,318.96,7.15,0.61,5.1,0.42,1.33,0.71
14,73.48111111,17.89472222,8.19,0.22,1.51,1058.4,9.21,532.3,7.25,0.54,5.2,0.38,1.64,0.49
15,73.48222222,17.89472222,8.36,0.28,0.95,667.8,9.21,442.53,7.05,0.55,4.5,0.39,1.28,0.61
16,74.90333333,17.9125,7.7,0.85,0.63,441,12.64,683,8.4,0.3,2.48,0.4,2.12,0.8
17,74.64,17.91333333,8.5,0.15,0.74,200.7,4.27,299.04,3.03,0.63,1.53,1.63,2.64,1.65
18,75.36361111,17.92888889,7.68,0.76,0.33,609,11.7,896,9.3,0.3,2.81,0.44,1.27,0.4
19,74.88333333,17.94222222,7.36,0.64,0.5,263.21,12.88,862.27,9.22,0.63,2.33,1.06,1.82,0.59
20,74.87388889,17.94666667,7.9,0.98,0.39,273,10.49,997,8.2,0.43,4.1,0.64,2.44,0.66
21,74.87472222,17.94666667,7.76,0.9,0.87,609,9.46,952,6.3,0.52,4.26,0.56,1.92,0.72
22,74.84638889,17.94888889,7.68,0.91,0.48,336,13.2,672,8.2,0.74,3.1,0.9,1.92,0.48
23,74.84694444,17.94888889,7.72,0.96,0.6,420,12.24,1176,6.3,0.82,2.74,0.48,2.16,0.72
24,74.84694444,17.94972222,7.86,0.56,0.87,567,12.48,1512,8.1,0.78,2.78,0.52,2.18,0.7
25,74.84611111,17.95,7.52,0.84,0.3,210,13.34,470,6.2,0.6,3.12,0.74,1.98,0.92
26,74.84666667,17.95027778,7.68,0.71,0.75,525,12.36,1232,7.1,0.43,2.7,0.72,2.1,0.5
27,74.85222222,17.95027778,7.6,0.77,0.96,672,13.39,1848,8.2,0.52,1.98,0.58,2.94,0.58
28,74.84638889,17.95055556,7.7,0.84,0.24,168,18.24,426,6.3,0.43,2.5,0.76,2.44,0.88
29,74.84777778,17.95055556,7.46,0.8,0.45,315,18.4,140,8.4,0.52,3.26,0.72,2,0.76
30,74.84805556,17.95083333,7.88,0.76,0.9,630,13.2,549,8.4,0.69,2.76,0.58,2.26,0.72
31,74.85611111,17.95083333,7.71,0.84,0.3,210,18.34,1075,8.2,0.48,3.1,0.72,2.16,0.72
32,74.87611111,17.95083333,7.68,0.58,0.18,126,13.34,997,8.4,0.74,3.98,0.48,2.16,0.58
33,74.85444444,17.95111111,7.72,0.72,0.75,525,10.26,616,7.1,0.46,2.96,0.48,2.12,0.58
34,74.85361111,17.95138889,7.94,0.76,0.75,525,10.36,213,7.1,0.92,3.92,0.96,1.74,0.72
35,74.85583333,17.95138889,7.7,0.74,0.9,630,10.24,549,5.7,0.52,2.72,0.58,2.2,0.6
36,74.84805556,17.95166667,7.72,0.58,0.93,651,13.39,1728,8.1,0.64,3.24,0.7,2.22,0.7
37,74.85138889,17.95166667,7.72,0.72,0.93,651,12.6,1176,7.3,0.74,3,0.4,1.92,0.46
