,latitudes,longitudes,values,variance
0,17.89,73.4,0.5574675488331479,0.01787818781382378
1,17.89,73.41,0.5571494607608365,0.017864756669897588
2,17.89,73.42,0.5518283492967343,0.017896890893020538
3,17.89,73.43,0.5460741243807979,0.017931516064797415
4,17.89,73.44,0.5412265022545297,0.01796879062992073
5,17.89,73.45,0.5371429953834604,0.018006960424231937
6,17.89,73.46,0.5334139481247282,0.01804185258916658
7,17.89,73.47,0.5300002925864895,0.01807339992088476
8,17.89,73.48,0.5267951045297756,0.018104568706070343
9,17.9,73.4,0.5541942547102598,0.017861412488170168
10,17.9,73.41,0.5539384727120902,0.017847324283011032
11,17.9,73.42,0.5487033611193237,0.017878308795326023
12,17.9,73.43,0.543097442061511,0.01791172453752534
13,17.9,73.44,0.5383627569268534,0.017947731158472924
14,17.9,73.45,0.5344108844843185,0.017984603383441943
15,17.9,73.46,0.5308148729002112,0.0180182211098817
16,17.9,73.47,0.5275771842311525,0.018048524416167014
17,17.9,73.48,0.5245118236038311,0.01807845113513024
18,17.91,73.4,0.5456942796317388,0.017906237917508293
19,17.91,73.41,0.5454824249384678,0.01788720809130168
20,17.91,73.42,0.5424486027831069,0.017897317529635554
21,17.91,73.43,0.5383089077258704,0.0179205136700891
22,17.91,73.44,0.5342065182876986,0.017949172491232738
23,17.91,73.45,0.5304847818836796,0.017979943218755172
24,17.91,73.46,0.527083379665675,0.018010444575131304
25,17.91,73.47,0.5239611249457262,0.018040511732068304
26,17.91,73.48,0.5209052904408893,0.018072677126808913
27,17.91,73.49,0.5176447226122382,0.018110338855479986
28,17.91,74.64,0.3189588439951483,0.01819100967581129
29,17.91,74.9,0.2791777063130863,0.017537977142161987
30,17.92,73.4,0.5367537313802886,0.017952921938200483
31,17.92,73.41,0.5366621924777074,0.017932256804733232
32,17.92,73.42,0.5347955854012276,0.017931291587306677
33,17.92,73.43,0.5318813422317515,0.01794366292201199
34,17.92,73.44,0.5286359852580049,0.01796365501297416
35,17.92,73.45,0.5254204083825365,0.017987690216949025
36,17.92,73.46,0.5223774561573198,0.01801376524865236
37,17.92,73.47,0.5195089460498535,0.0180414042088596
38,17.92,73.48,0.5166394911245048,0.01807141450432169
39,17.92,73.49,0.5136042645725601,0.01810463674219265
40,17.92,73.5,0.5103843669945765,0.01814045648752341
41,17.92,74.63,0.319150592532162,0.018158186286175496
42,17.92,74.64,0.31819527967162314,0.01814775614228723
43,17.92,74.65,0.31709503947254597,0.018142193384110952
44,17.92,74.89,0.27870830002115754,0.017434806766394285
45,17.92,74.9,0.27803065905805135,0.01745222834951803
46,17.92,74.91,0.27789034853776734,0.017477889808597855
